account_id,customer_id,iban,currency,opened_date
ACC_000000001,CUST_000001,GB44KXLU04705307791850,GBP,2024-08-12
ACC_000000002,CUST_000001,GB92BLGX66597928762311,GBP,2023-05-16
ACC_000000003,CUST_000001,GB42MJRL21639221913886,GBP,2023-10-14
ACC_000000004,CUST_000002,GB20MVHO73307876498636,GBP,2022-11-21
ACC_000000005,CUST_000002,GB02YOBX77928548457529,GBP,2022-08-27
ACC_000000006,CUST_000002,GB11IWFR73452187938857,GBP,2025-09-27
ACC_000000007,CUST_000003,GB49EFUT67794442545630,GBP,2021-04-05
ACC_000000008,CUST_000004,GB51DHKE67620710353233,GBP,2025-10-29
ACC_000000009,CUST_000004,GB50HIOO16989221042377,GBP,2024-08-01
ACC_000000010,CUST_000004,GB56CLUN43937259676111,GBP,2024-07-21
ACC_000000011,CUST_000005,GB39BDHN44140378478743,GBP,2021-12-23
ACC_000000012,CUST_000005,GB69HGOI33308774293956,GBP,2024-11-16
ACC_000000013,CUST_000006,GB29ABWC81020270123327,GBP,2021-10-11
ACC_000000014,CUST_000006,GB59TEER36775678695887,GBP,2022-09-14
ACC_000000015,CUST_000006,GB60BYNM35506392899820,GBP,2021-08-12
ACC_000000016,CUST_000007,GB28OOCS93122739687312,GBP,2025-02-23
ACC_000000017,CUST_000007,GB27XIOX12608872864424,GBP,2024-12-01
ACC_000000018,CUST_000008,GB44OWJL07863929426649,GBP,2024-11-21
ACC_000000019,CUST_000008,GB22DGLC14846784504966,GBP,2022-12-12
ACC_000000020,CUST_000009,GB73SGGN34368876433968,GBP,2023-10-28
ACC_000000021,CUST_000010,GB77ULNT54243867062596,GBP,2024-04-25
ACC_000000022,CUST_000010,GB57DTCC31399659684905,GBP,2022-08-04
ACC_000000023,CUST_000010,GB85YUXV01852915364873,GBP,2024-07-16
ACC_000000024,CUST_000011,GB23UPAQ43252814294384,GBP,2021-08-26
ACC_000000025,CUST_000011,GB47FTRU46201931983266,GBP,2024-07-16
ACC_000000026,CUST_000012,GB82JESR89080839893455,GBP,2021-03-11
ACC_000000027,CUST_000012,GB09SCZR47900848535026,GBP,2025-05-12
ACC_000000028,CUST_000012,GB67AQMJ36894069074589,GBP,2024-08-12
ACC_000000029,CUST_000013,GB35UBMA14066343169442,GBP,2021-12-10
ACC_000000030,CUST_000014,GB24KOWB13789652027607,GBP,2025-10-24
ACC_000000031,CUST_000015,GB75WXXD96208977195118,GBP,2025-06-05
ACC_000000032,CUST_000015,GB03QJCC33224379818150,GBP,2024-06-16
ACC_000000033,CUST_000015,GB25CFBV45586471450588,GBP,2025-04-15
ACC_000000034,CUST_000016,GB23FTNW02450610065323,GBP,2021-07-24
ACC_000000035,CUST_000016,GB97RRDW48975587188041,GBP,2021-12-12
ACC_000000036,CUST_000017,GB46PPKL61321254925296,GBP,2025-10-13
ACC_000000037,CUST_000018,GB13HXRK79243188014011,GBP,2025-10-23
ACC_000000038,CUST_000018,GB74SAYC23265584665592,GBP,2025-07-15
ACC_000000039,CUST_000019,GB55BPVN44409082878788,GBP,2023-03-24
ACC_000000040,CUST_000019,GB60SMMG29486682119699,GBP,2021-08-12
ACC_000000041,CUST_000020,GB29EXLQ95457648413510,GBP,2023-08-18
ACC_000000042,CUST_000020,GB31GLNL09981478208604,GBP,2025-07-01
ACC_000000043,CUST_000020,GB55JXLW67318691670979,GBP,2021-11-21
ACC_000000044,CUST_000021,GB73DLIP53375656662143,GBP,2025-01-08
ACC_000000045,CUST_000022,GB93UGFX54316644331580,GBP,2023-06-29
ACC_000000046,CUST_000022,GB97JCWC67904503637252,GBP,2024-08-02
ACC_000000047,CUST_000022,GB25CCPX28379867261031,GBP,2023-11-26
ACC_000000048,CUST_000023,GB51NULC84760483068475,GBP,2024-08-30
ACC_000000049,CUST_000023,GB28MKLL59192089429987,GBP,2024-04-19
ACC_000000050,CUST_000023,GB41DPQL62172792841593,GBP,2021-10-22
ACC_000000051,CUST_000024,GB62CAJG81060856414645,GBP,2023-03-07
ACC_000000052,CUST_000024,GB30GECR64150281473523,GBP,2024-03-30
ACC_000000053,CUST_000024,GB13UJFD88002832867139,GBP,2023-06-29
ACC_000000054,CUST_000025,GB66XCMX69825439672619,GBP,2021-05-31
ACC_000000055,CUST_000025,GB45IOTG80091275795930,GBP,2022-07-22
ACC_000000056,CUST_000026,GB90EBRS77207540454726,GBP,2022-12-31
ACC_000000057,CUST_000026,GB19GDGQ50213094760268,GBP,2022-02-25
ACC_000000058,CUST_000026,GB63SWOO44696266171795,GBP,2021-07-29
ACC_000000059,CUST_000027,GB63ZMDM16976523184093,GBP,2021-06-10
ACC_000000060,CUST_000028,GB19BRHY79855904082089,GBP,2025-04-06
ACC_000000061,CUST_000028,GB64DPTV69859838443906,GBP,2023-01-01
ACC_000000062,CUST_000029,GB78MOGX64458131551546,GBP,2022-03-23
ACC_000000063,CUST_000029,GB25YKXZ16432862388673,GBP,2021-08-26
ACC_000000064,CUST_000029,GB98KWSX80916759107208,GBP,2024-07-23
ACC_000000065,CUST_000030,GB51EJVF20743929616975,GBP,2021-09-24
ACC_000000066,CUST_000031,GB66DQRB35184478013832,GBP,2024-05-30
ACC_000000067,CUST_000031,GB08ETST26242730920098,GBP,2025-05-28
ACC_000000068,CUST_000031,GB31CIYA45842811223563,GBP,2021-06-21
ACC_000000069,CUST_000032,GB42KRJN22429831340275,GBP,2022-08-09
ACC_000000070,CUST_000032,GB83OIRT61568469015634,GBP,2025-05-03
ACC_000000071,CUST_000032,GB65RXAR22514692813870,GBP,2024-06-10
ACC_000000072,CUST_000033,GB43NEJR24343486403368,GBP,2021-10-25
ACC_000000073,CUST_000033,GB25ONMR41096428167694,GBP,2022-07-02
ACC_000000074,CUST_000033,GB03WRPE13454998083388,GBP,2021-03-07
ACC_000000075,CUST_000034,GB26DKLR53440701821254,GBP,2024-09-28
ACC_000000076,CUST_000034,GB83VWIJ14375325121564,GBP,2022-08-07
ACC_000000077,CUST_000035,GB15GKLP40320225592153,GBP,2021-06-16
ACC_000000078,CUST_000035,GB44KGEO52299267348759,GBP,2022-10-28
ACC_000000079,CUST_000035,GB81AFMA14849451950421,GBP,2025-08-31
ACC_000000080,CUST_000036,GB34MYGR05789579178771,GBP,2023-01-27
ACC_000000081,CUST_000037,GB66YPTG74658512959232,GBP,2022-05-22
ACC_000000082,CUST_000037,GB74HDDW53783391951132,GBP,2022-03-06
ACC_000000083,CUST_000037,GB33NEOO23654015699694,GBP,2024-10-27
ACC_000000084,CUST_000038,GB18JZEL08382324366462,GBP,2025-02-28
ACC_000000085,CUST_000038,GB19MIAJ94672743821605,GBP,2023-07-15
ACC_000000086,CUST_000038,GB67CKKH46186513887138,GBP,2021-10-17
ACC_000000087,CUST_000039,GB24WRXC18123932042832,GBP,2024-06-25
ACC_000000088,CUST_000039,GB52ABLR70502064887651,GBP,2025-04-20
ACC_000000089,CUST_000040,GB12PBVX68334009650941,GBP,2022-08-30
ACC_000000090,CUST_000040,GB26IQEQ63056102927268,GBP,2023-01-24
ACC_000000091,CUST_000040,GB04APZB53210648033606,GBP,2024-03-29
ACC_000000092,CUST_000041,GB28WXIA76908283571194,GBP,2025-07-18
ACC_000000093,CUST_000042,GB58HCIJ12218126774275,GBP,2024-05-06
ACC_000000094,CUST_000043,GB28NYMA46726067151250,GBP,2024-12-14
ACC_000000095,CUST_000043,GB19IZGR90958509081995,GBP,2025-02-10
ACC_000000096,CUST_000043,GB05MMUA33012607541634,GBP,2023-01-02
ACC_000000097,CUST_000044,GB42APOB14875334541051,GBP,2023-01-17
ACC_000000098,CUST_000045,GB36WVWR66261923344884,GBP,2024-05-14
ACC_000000099,CUST_000046,GB79JVXE37744897217441,GBP,2025-04-16
ACC_000000100,CUST_000046,GB17EMHB07022855329924,GBP,2020-12-26
ACC_000000101,CUST_000046,GB55JDQA88352249479934,GBP,2024-11-18
ACC_000000102,CUST_000047,GB89JANZ79874394786261,GBP,2021-05-24
ACC_000000103,CUST_000048,GB98CDVL94236896303739,GBP,2024-06-28
ACC_000000104,CUST_000049,GB78BAZJ03667774207180,GBP,2023-08-19
ACC_000000105,CUST_000049,GB80OKCQ77582886636989,GBP,2024-11-15
ACC_000000106,CUST_000049,GB50ORUP03369596151670,GBP,2024-12-27
ACC_000000107,CUST_000050,GB91XOTP82602704726546,GBP,2021-07-01
ACC_000000108,CUST_000050,GB77QWLS02062417423460,GBP,2025-04-06
ACC_000000109,CUST_000051,GB66XELF08975290669998,GBP,2021-05-03
ACC_000000110,CUST_000051,GB08XOYB62148389919283,GBP,2025-03-24
ACC_000000111,CUST_000052,GB82FDAK70590383134354,GBP,2021-05-11
ACC_000000112,CUST_000052,GB02ZTTD73496556202355,GBP,2025-10-20
ACC_000000113,CUST_000052,GB88HUWU09330988054953,GBP,2022-06-26
ACC_000000114,CUST_000053,GB73QHCC70109940875276,GBP,2022-03-05
ACC_000000115,CUST_000053,GB04KGUI22569854714925,GBP,2025-11-21
