customer_id,first_name,last_name,email,phone,address,country,date_of_birth,employer_company_id
CUST_000001,Amy,Branch,sydneycole@example.net,001-794-519-7357x18828,"19512 Tiffany Isle, Lindseyhaven, PW 58233",Mauritius,1984-08-06,COMP_000773
CUST_000002,Catherine,Williams,ycollins@example.com,209-406-1435x631,"15082 Becker Ways, Lucasville, ME 10782",Ireland,1954-09-16,COMP_000843
CUST_000003,Michael,Mcbride,todd84@example.org,857-947-3558x7857,"44779 Young Corner Apt. 975, Johnsstad, IA 08671",Yemen,1984-02-10,COMP_000045
CUST_000004,Jennifer,Greer,stevenwilliams@example.com,371-431-4396x926,"793 Scott Land, West Scottmouth, VA 08331",Slovakia (Slovak Republic),1978-05-15,COMP_000419
CUST_000005,Danielle,Torres,bakerdavid@example.com,901-715-9593x18571,"4785 Acosta Flat Suite 621, New Ashleyfort, MH 34801",Micronesia,2005-01-09,COMP_000723
CUST_000006,Kayla,Chaney,nicole20@example.net,001-348-813-9519x0477,"85626 Jeremiah Route, West Christopher, MI 12103",Dominican Republic,1994-12-13,COMP_000756
CUST_000007,Justin,Williams,qhill@example.net,713.264.1254x189,"648 Holt Mountains, New Thomas, OH 50413",Germany,1946-11-03,COMP_000203
CUST_000008,Shannon,Clark,sarah25@example.org,+1-374-770-4657x17377,"93060 Christina Brook Apt. 829, Clarkstad, MD 99665",Reunion,1999-11-16,COMP_000715
CUST_000009,Jesse,Casey,wesley88@example.com,3228124464,"9459 Hunter Throughway Apt. 741, New Brenda, DE 90988",French Polynesia,1986-08-30,COMP_000885
CUST_000010,Michael,Dominguez,dustinhicks@example.com,534-876-2961x171,"921 Patterson Drives, Lake Mackenzie, PW 36938",Barbados,2005-12-10,COMP_000539
CUST_000011,Sabrina,Watson,ggonzalez@example.net,+1-468-805-6106x21756,"38331 Kevin Manor, Pettyfort, NM 96386",Slovakia (Slovak Republic),1953-02-03,COMP_000386
CUST_000012,Lisa,Johnston,cobbelizabeth@example.net,538-448-5159x6981,"49543 Brandy Burg, East Matthew, MT 14638",Georgia,1958-11-12,COMP_000950
CUST_000013,Jeffrey,Mills,cooperrebecca@example.net,001-652-877-8340,"USNV Brown, FPO AA 86475",Saint Pierre and Miquelon,2004-10-29,COMP_000630
CUST_000014,Sherry,Palmer,jeromegutierrez@example.net,3869631527,"6620 Matthew Spurs Suite 094, Natashafort, ND 76752",Heard Island and McDonald Islands,1994-05-16,COMP_000968
CUST_000015,Michael,Williams,jdean@example.com,(457)889-7616,"281 William Wall, South Cynthiaside, FL 15660",Guernsey,1966-10-30,COMP_000738
CUST_000016,Madeline,Morris,kpierce@example.org,(834)471-4113x63177,"PSC 6018, Box 3578, APO AA 16785",Sierra Leone,1998-01-11,COMP_000360
CUST_000017,Stephen,Barber,qbrown@example.com,9657804695,"Unit 5266 Box 6641, DPO AA 47600",Kuwait,1940-11-29,COMP_000468
CUST_000018,Kristin,Wheeler,williamsonmary@example.com,+1-284-651-7438x818,"563 Drake Station, Jeffreyburgh, AS 11856",Lithuania,1996-11-16,COMP_000983
CUST_000019,Dorothy,Green,petersondenise@example.com,(417)359-6313x64396,"4039 Dustin Square Apt. 751, Jenniferberg, CT 33848",Greenland,1959-06-03,COMP_000975
CUST_000020,Scott,Brown,wmaldonado@example.org,6864207669,"USCGC Johnson, FPO AP 07323",Bhutan,1993-09-14,COMP_000944
CUST_000021,Amy,Moreno,steven57@example.net,(821)480-8163x6020,"PSC 6860, Box 4409, APO AP 79098",Western Sahara,1979-11-16,COMP_000205
CUST_000022,Susan,Cameron,mary70@example.com,285-616-8862,"815 Kenneth Brook Apt. 652, Seanchester, PA 05192",Kenya,1977-05-01,COMP_000247
CUST_000023,Emily,Gonzalez,kevin80@example.net,001-748-973-4057x179,"463 Gonzalez Land, North Madison, SD 24946",Haiti,1998-09-18,COMP_000991
CUST_000024,Nancy,Williams,teresalawrence@example.org,316-228-1672x79664,"28344 Bryan Oval, Port Carl, AK 67223",Cuba,1987-02-24,COMP_000049
CUST_000025,Todd,Smith,morganjared@example.com,+1-798-651-9652x844,"PSC 6497, Box 7689, APO AA 77750",Tonga,2006-03-29,COMP_000366
CUST_000026,Ashley,Brown,jessicarandolph@example.net,581-795-0001x5969,"09899 Ronald Islands, Lesliebury, MS 55684",China,1967-08-05,COMP_000253
CUST_000027,Jennifer,Meza,cheath@example.org,378-999-3703x87262,"314 Hansen Mission, Taylorfurt, PA 86882",Uruguay,1956-03-20,COMP_000078
CUST_000028,Megan,Rivera,dwhite@example.com,290-492-5228x0390,"2348 Ramos Terrace, East Joseshire, NJ 63811",Mauritius,1973-09-23,COMP_000769
CUST_000029,Courtney,Mcintyre,apalmer@example.com,(405)628-4304x434,"20394 Susan Gateway Apt. 185, Tonifort, ND 24773",Syrian Arab Republic,1983-05-02,COMP_000632
CUST_000030,Roger,Jackson,kristen83@example.net,001-252-414-9579x57676,"0114 Harold Causeway Suite 488, East Patriciaburgh, CT 65007",South Georgia and the South Sandwich Islands,1977-08-25,COMP_000987
CUST_000031,Adriana,Gonzales,kenneth50@example.com,(882)986-0748x5298,"2283 Kyle Summit Apt. 081, Moorestad, TN 46300",Serbia,1949-02-14,COMP_000417
CUST_000032,Nicholas,Hart,gerald96@example.org,001-837-941-1121x39511,"976 Melinda Run Apt. 021, Josephport, DC 32251",Martinique,1981-07-04,COMP_000035
CUST_000033,Cathy,Carney,tricia75@example.net,437-440-2780x620,"8955 Michelle Forge, West Michaelville, UT 33482",Central African Republic,1960-04-18,COMP_000438
CUST_000034,Richard,Graham,ldavis@example.net,+1-364-312-4956x881,"197 Brennan Meadow, Dariusland, WI 12121",Korea,1986-09-06,COMP_000312
CUST_000035,Derek,Cain,omyers@example.net,9903131718,"3134 Obrien Coves, East Janicehaven, TX 65101",Slovakia (Slovak Republic),1982-12-01,COMP_000143
CUST_000036,Daniel,Allison,huntpaul@example.com,001-371-248-9815x320,"558 Morgan Club, South Edwardland, GA 67729",Svalbard & Jan Mayen Islands,1974-01-12,COMP_000197
CUST_000037,Caitlin,Rodriguez,barry96@example.org,001-865-208-8290x3118,"166 Hamilton Stream, Port Angelafurt, FM 19165",El Salvador,1962-03-10,COMP_000997
CUST_000038,Susan,Rogers,flemingchristina@example.com,(598)956-5851,"Unit 9727 Box 5458, DPO AE 37527",Denmark,1940-04-30,COMP_000260
CUST_000039,Sandra,Thomas,michael99@example.org,846.262.1678x5557,"917 Lewis Rest Apt. 296, Arthurhaven, DC 12907",Malawi,1958-12-08,COMP_000366
